ORDERID,USERID,SIZES,STATUS,PATH,COUNT,COST
133,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,12,
136,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,40,
134,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,16,
135,shivi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,20,
137,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,90,
138,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,149,
139,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,19,
140,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,13,
141,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,49,
152,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,1789,
143,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,18,
144,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,19,
145,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,19,
146,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,19,
147,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,25,
148,gg,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,80,
149,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,18,
151,null,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,1123,
153,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,10,
154,anchi,Japanese Postcard-Rs 100,true,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,12,
155,artu,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\522136_481495571917250_1364340778_n.jpg,10,
157,anki,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,99,
158,anki,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,19,
159,moni,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,123,12300
160,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,178,17800
161,moni,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,89,8900.0
162,moni,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,99,9900.0
163,moni,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,189,18900.0
164,moni,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,1897,189700
165,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,12345,1234500.0
166,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,134,67000.0
167,anchi,Japanese Postcard-Rs 100,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,1324,132400.0
168,anchi,Legal-Rs 500,false,C:\Users\BATHLA\Pictures\Google Talk Received Images\184008_165525720163726_3040414_n.jpg,1,500.0
